transaction_id,item_id,item_name
1329558,41079,1.5% Milkfat Grade A Pasteurized Lowfat Cottage Cheese
2631670,19660,Spring Water
2846731,49683,Cucumber Kirby
3033867,41844,Honey Nut Cheerios
817815,41149,Organic Riced Cauliflower
2832188,30599,Homemade Vodka Sauce
548930,19057,Organic Large Extra Fancy Fuji Apple
523460,12260,Ground Cinnamon
3208288,36214,Turkey Burger Patties
2435141,23634,Dairy-Free Cheddar Style Shreds
939321,23405,Pure Baking Soda
2075210,29993,Organic Low Fat Chocolate Milk
2696691,730,Restorative Biotin Conditioner
1787134,2326,Organic Blueberry Waffles
1269354,21461,Triple Creme Goat Brie
2677941,14647,Diced Hot Green Chiles
2737770,19863,Classic Potato Chips
1884890,35221,Lime Sparkling Water
2669406,33527,Organic Classic Rich Crackers
552573,48600,Organic Cinnamon Apple Chips
1350324,23879,Applewood Smoked Turkey Breast
1336986,13338,Gluten Free Smoked Gouda Mac and Cheese
1862280,32052,Organic Brown Rice Cake Salt-Free
1334642,23165,Organic Leek
2822779,24852,Banana
630425,16797,Strawberries
2892101,9955,Unsweetened Organic Coconut Milk
2095493,40593,Cream Cheese
1042602,12792,Steamers Green Beans & Almonds
357219,35939,Organic Jalapeno Pepper
982272,21137,Organic Strawberries
2201739,29079,Seasoning Curry Powder
792596,19261,Rocky Mountain Sourdough Bread
2165909,5679,Strawberry Yogurt Melts
399774,11408,Crushed Tomatoes
1311866,18641,Tomato Goat Cheese & Herbs Pizza
3276518,11159,Organic Dark Chocolate Almond Nutrition Bar
377673,5923,Traditional Favorites Four Cheese Pasta Sauce
330650,39877,Organic Granny Smith Apple
1211944,49113,Tall Kitchen Drawstring Bags
2438300,10895,Mexican Finely Shredded Cheese
2292648,34943,Gluten Free Spaghetti
2023441,44359,Organic Small Bunch Celery
590740,44661,Bicolor Sweet Corn
2312043,39275,Organic Blueberries
679792,38342,Fancy Sliced Water Chestnuts
1743216,24852,Banana
1389353,4210,Whole Milk
2241046,2790,Organic Chicory Cold Brew Coffee
2196713,7076,Grain Free Chicken Formula Cat Food
172973,43961,Organic Peeled Whole Baby Carrots
2808986,2996,Honeysuckle Hand Soap
99788,9007,Frosted Flakes
2178510,21096,Sea Salt Kettle Cooked Potato Chips
1706187,34234,Grade AA Large White Eggs
1052107,19248,Just Sweet Potato Baby Food
52471,21616,Organic Baby Arugula
2876152,17985,Uncooked Medium Flour Tortillas
2931287,47626,Large Lemon
3389699,19366,Sprouted Organic Cinnamon Raisin English Muffins
2690743,45603,Trilogy Kombucha Drink
2417502,20114,Jalapeno Peppers
2098270,3583,Unsweetened Coconut Milk Beverage
1725772,33731,Grated Parmesan
2964350,27992,Unbleached Recycled Paper Towel Rolls
2936173,23291,Coconut Chia Bar
3223775,15937,Shallot
2210477,30489,Original Hummus
140034,39468,"Apples, Kale & Avocados Organic Baby Food"
653029,47931,Diet Cola
2704064,26608,Little Snugglers Diapers Jumbo Pack Size Newborn
1253639,24184,Red Peppers
357671,19938,Extra Wide Egg Noodles
2469844,890,Organic Diced Tomatoes
3133292,17630,YoKids Squeeze! Organic Strawberry Flavor Yogurt
961247,43988,Plain Low Fat Australian Style Yogurt
1444100,22963,Organic Roasted Turkey Breast
613206,45970,Organic Black Beans Ready To Eat In Pouch
743969,7963,Gluten Free Whole Grain Bread
214474,4472,Toasted Coconut Almondmilk Blend
311215,21137,Organic Strawberries
1787089,14154,Reduced Fat Sharp Cheddar Cheese
2372184,37250,Cut Green Beans
1475231,49,Vegetarian Grain Meat Sausages Italian - 4 CT
3328915,34466,Sweet Potatoes
2130991,9076,Blueberries
1320139,39621,Organic Artichoke
776608,18811,Organic Apple Juice
616000,17530,Unsweetened Watermelon Water
3168349,35670,Organic Braised Tofu
3343899,43500,Meaty Bits Variety Pack Wet Cat Food
418241,49131,Smoked Turkey Breast Slices
1804006,17149,Gluten Free Chicken Breast Tenders
982509,42244,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt
1765793,43821,1 Apple + 1 Mango Fruit Bar
1727749,41741,Cherry Juice Drinks
2069067,14084,Organic Unsweetened Vanilla Almond Milk
1509505,260,Cantaloupe
2205576,43632,GoGurt Strawberry and Blueberry Tubes
2779236,40214,90 Calorie Chocolate Fudge Brownies
789659,38159,Organic Yellow Peaches
2451950,14852,All Natural Marinara Sauce
2129140,11078,Macaroni Elbows
2439305,38051,Shiitake Mushroom
1689867,32689,Romaine Hearts
942800,49175,Organic Pinto Beans
224996,22035,Organic Whole String Cheese
2908689,25890,Boneless Skinless Chicken Breasts
2930351,5884,Royal Gala Apples
1018098,24654,Potato Hot Dog Buns
3277883,19003,Celery
2867944,27737,Brown Rice Black-Eyed Peas and Veggies Bowl
1483740,11737,Organic Lemon Lowfat Yogurt
2582440,37220,Organic Strawberry Fruit Spread
1870593,22035,Organic Whole String Cheese
2608186,21927,Organic Boneless Skinless Chicken Breast
3169455,21137,Organic Strawberries
670154,20842,Total 0% Greek Yogurt
2253952,45066,Honeycrisp Apple
2156724,49139,Salsa Con Queso Medium
1838641,2966,Pure Coconut Water
1539504,4792,Panda Puffs Peanut Butter Cereal
2153860,29616,Direct Trade Black Cat Classic Espresso Roast Whole Bean Coffee
1697360,46667,Organic Ginger Root
1431505,21872,Organic Italian Salad
452197,31288,Lowfat Key Lime Yogurt
2071259,36226,Mandarin Oranges in Light Syrup Fruit
2313078,41787,Bartlett Pears
2281728,34502,Natural Walnuts And Almonds 100 Calorie Packs
1630072,41220,Organic Romaine Lettuce
2481352,8277,Apple Honeycrisp Organic
924999,4697,"Eggs, Cheese & Turkey Sausage Breakfast Burrito"
1525010,27845,Organic Whole Milk
1669071,12250,EF California White Basmati Eco-Farmed 2 lb Rice
3370558,10692,Feta Crumbled Reduced Fat Cheese
2343752,12087,Chicken Flavor Ramen Noodle Soup
2140459,13629,Organic Snipped Green Beans
1823225,26668,Cannellini White Kidney Beans No Salt Added
306145,5876,Organic Lemon
1853566,35503,Organic Vanilla Almond Milk
1767152,14881,Organic Yukon Select Fries
2138000,21137,Organic Strawberries
1170105,28698,Asian Noodle Salad
2965259,15693,Organic Peach Oo La Long Tea
818839,47209,Organic Hass Avocado
1655444,6818,Watermelon/Mixed Berry Variety Pack Low-Fat Greek Yogurt
2437330,21137,Organic Strawberries
268208,30192,Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food
2558624,5612,Reduced Fat Milk
1577283,20955,Cereal
1882975,16683,Little Sumpin' Sumpin' Ale
3208882,38383,Organic White Onions
55045,7746,Oregano
3165002,27521,Organic Lacinato (Dinosaur) Kale
1378601,22832,Unsweetened Pomegranate Essence Water
501148,17706,Organic Whole Grain Wheat English Muffins
1240884,31487,Boomchickapop Sweet & Salty Kettle Corn
147563,37417,Gluten Free Pretzel Twists
1762104,4138,Arancita Rossa
1781432,178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos
2120335,16797,Strawberries
2086812,26668,Cannellini White Kidney Beans No Salt Added
2318194,26165,Electrolyte Enhanced Water
83065,9438,Honey Graham Sticks
243382,12075,Spicy Hummus
1241142,4799,Shredded Parmesan
2988442,13780,Thyme
125815,41690,California Cauliflower
2775919,8174,Organic Navel Orange
776670,32566,Dha Omega 3 Vitamin D Milk
1033136,6194,Organic Red Kidney Beans
2738963,16772,Organic Ginger Herbal Tea
3053748,24184,Red Peppers
1954470,22362,Original Rice Krispies Treats
900424,27966,Organic Raspberries
2025793,27966,Organic Raspberries
172142,283,Organic Whole Wheat Elbows
3084625,37710,Trail Mix
1702665,32691,Vanilla Ice Cream
3078053,4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry
281260,10158,Nonpareils Capers
1866819,3318,Cinnamon Swirl Raisin Bread
2442455,38622,Cheddar Snack Crackers Cheddar Bunnies
151944,14897,Sweet Potato Yam
3375681,16900,Original Whole Grain Chips
262057,4793,Wild Berry Smoothie
850865,21616,Organic Baby Arugula
3108079,34297,Hawaiian Papaya
1913690,47766,Organic Avocado
2595171,16797,Strawberries
1302754,16613,Chocolate Chunk Cookie
1979399,21938,Green Bell Pepper
1961420,13517,Whole Wheat Bread
2700978,7788,"Deli Fresh Smoked Ham, 97% Fat Free, Gluten Free"
750383,30696,Eggo Homestyle Waffles
2926214,35968,Organic Traditional Hummus
3080598,22935,Organic Yellow Onion
1624615,11090,Organic Fat Free Cottage Cheese
2926893,29328,Organic Sweet Mini Peppers
211874,10,Sparkling Orange Juice & Prickly Pear Beverage
2918703,22825,Organic D'Anjou Pears
1666030,7746,Oregano
3391903,45007,Organic Zucchini
2212567,12118,Organic Whole Grain Spanish Rice
548346,42701,Organic Sour Cream
2910465,196,Soda
279690,31268,Sandwich Bags
645060,165,Wild Chanterelle Mushroom Ravioli
2215605,48637,"Green Supreme Apple, Kale & Lemon Cold Pressured Fruit & Vegetable Juice"
2729085,31338,Classic Almond Butter
1688809,33894,Goldfish Cheddar Baked Snack Crackers Multi Packs
1218570,43295,Unsweetened Vanilla Almond Milk
2921782,10339,Unsweetened Blackberry Water
2777858,26620,Peach Pear Flavored Sparkling Water
478056,36999,Mango Strawberry Granola Bar
1995970,27845,Organic Whole Milk
190781,37067,Organic Banana
2903556,37524,Fresh Mozzarella Ball
2293702,16283,Fresh Asparagus
809494,41658,Authentic French Brioche Hamburger Buns
644385,19660,Spring Water
3261805,10036,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack"
2159165,30427,Accents Organic Sprouted Quinoa Trio
2041663,36717,Double Fiber Bread
2522856,29650,Pork Chorizo
632002,15693,Organic Peach Oo La Long Tea
3107014,6999,Organic Fresh Pressed Pure Lemon Juice
3038594,22922,Organic Canola Oil
680757,48532,All Purpose Cleaner
340962,25197,Iced Oatmeal Cookie Kid Z Bar
3289415,12206,Basil Pesto
1523178,47766,Organic Avocado
637308,32850,Organic Pumpkin Puree
934004,11576,Corn Chips
215007,16797,Strawberries
1179169,13944,Pure Water
788538,35866,Mediterranean Sea Salt Grinder
1445540,43789,Organic Basil
3355596,6341,Brown Eggs
3087551,1503,Low Fat Cottage Cheese
55903,5337,Monterey Jack Cheese
898280,45007,Organic Zucchini
1776868,3792,Whole Baby Sweet Corn
1144370,48094,Crushed Tomatoes With Basil
117992,34448,Original Veggie Straws
49254,39108,Pulp Free Orange Juice
2040362,25753,Organic Homestyle Waffles
2865433,21162,Organic Mixed Berry Yogurt & Fruit Snack
1619279,36127,Freshly Squeezed Orange Juice
2129251,20112,Garbage Bags Small - 30 CT
316769,24852,Banana
1464080,20034,Potted Basil
1875000,33043,Crescent Rolls
3010493,34487,Hass Avocado Bag
940489,40268,Organic Wheat-Free & Gluten-Free Original Crackers
1763125,48679,Organic Garnet Sweet Potato (Yam)
453696,11520,Large Alfresco Eggs
1937831,35032,Grand Reserve Chardonnay
1043557,23720,Smoked Tomato Meatless Quarterloaf
2082632,44233,Multi Grain Crispbread
158572,2360,Lorraine Quiche
2273307,20995,Organic Broccoli Florets
3329340,18818,Unsweetened Organic Soy Milk
1766378,18523,Total 2% All Natural Greek Strained Yogurt with Honey
3084884,37646,Organic Gala Apples
2125958,24852,Banana
2797762,9076,Blueberries
3335433,42768,Organic Garbanzo Beans
2185816,47526,Goat Cheese Log
593232,18383,Mini Brownie Coco-Roons
1705989,28427,Vitamin D Whole Milk
3205570,26604,Organic Blackberries
1037187,24852,Banana
2513532,30391,Organic Cucumber
2213176,30561,Plain Bagelettes
393099,45866,Fig Newmans Fruit Filled Cookies
320188,24489,Organic Whole Strawberries
2745680,30962,Vanilla Greek Yogurt 0% Fat
2865252,39911,Sensible Foods Kale Veggie Burgers - 4 CT
1633239,48925,Peppered Deli Slices
548702,49235,Organic Half & Half
3138459,44085,Vanilla Light & Fit Greek Yogurt
437975,24799,Vanilla Skyr Nonfat Yogurt
343121,48235,Air Chilled Chicken Thighs
2226356,6252,Frijoles Negros Black Beans
3018695,17579,Cream Top Strawberry on the Bottom Yogurt
682453,15397,"Cashew Butter, Organic"
2830900,5785,Organic Reduced Fat 2% Milk
2065434,39468,"Apples, Kale & Avocados Organic Baby Food"
2301926,5315,Fettuccine Pasta
699825,12847,Organic Green Lemonade
676102,21131,Lemon-Lime Fridge Pack Soda
1240372,20899,Goo Berry Pie Probugs Kefir
3386214,22170,Organic Multigrain with Flax English Muffins
3114694,36650,Cinnamon Sugar Pita Chips
845030,9598,Gogo Squeez Organic Apple Strawberry Applesauce on the Go
478122,47156,Coconut Almond Unsweetened Creamer Blend
861567,32029,Low Sodium Organic Medium Chili
832473,24852,Banana
2994501,21553,Lowfat 2% Milkfat Cottage Cheese
648340,36792,Gluten Free Omega Flax & Fiber Bread
1293554,42598,Non-Fat Blackberry on the Bottom Greek Yogurt
86427,21903,Organic Baby Spinach
2428442,7381,Dark Chocolate Frozen Dessert bars
580119,6873,Organic Iceberg Lettuce
3225456,30450,Creamy Almond Butter
1560689,21050,"Bathroom Tissue, 1‑Ply, 1000 Sheet Rolls"
26309,3957,100% Raw Coconut Water
886507,5144,Mango Probiotic Juice Drink
542094,22699,Steamfresh Premium Selects Broccoli Florets
1094838,40706,Organic Grape Tomatoes
2516499,41121,Superfood Cereal Maca Double Chocolate
310112,46692,Multigrain Tortilla Chips
2103682,43692,Shredded Mozzarella Cheese
1598828,5439,Cream of Mushroom Soup
2816011,14891,Black Coffee
1816822,18523,Total 2% All Natural Greek Strained Yogurt with Honey
2455042,30233,Organic Large Brown Grade AA Cage Free Eggs
435211,23029,Organic Uncured Sliced Black Forest Ham
2535864,2961,Pink Salmon
2776059,40706,Organic Grape Tomatoes
2288430,38090,Classic Scent Liquid Dish Soap
116979,22963,Organic Roasted Turkey Breast
1290944,12395,Plain Goat Milk Yogurt
1296363,36231,Men's Health Tablets Multivitamin/Multimineral Supplement
1274175,13560,A+ Cinnamon Sweet Potato Pancakes
616358,8479,Original Black Box Tablewater Cracker
1599918,16262,Everything Bagels
1579756,13885,Caramel Cookie Crunch Gelato
341969,47766,Organic Avocado
2681108,26209,Limes
2608422,24117,Potato Chips Cheddar & Sour Cream Flavored Party Size!
1283459,46257,"Protein Bar, High, Cookies & Cream"
1528694,33147,Organic Crimini Mushrooms
274460,44072,Beef Cooking Stock
1250583,37065,Serrano Chile Peppers
2281065,47766,Organic Avocado
3120016,41427,Cookies 'N Cream Protein Bar
1025318,28204,Organic Fuji Apple
673009,36219,Savory Mix Variety Pack Rice Crisps
383431,15872,Celery Hearts
3033558,16797,Strawberries
1430989,20169,Annie Peely Fruit 4.5 Z
3045085,41149,Organic Riced Cauliflower
1213242,21607,Gluten Free Vanilla Granola
2473898,49235,Organic Half & Half
2232498,12756,Multigrain Oat Bread
1477050,38419,Parsnip
2966191,10112,Baby Mum-Mum Organic Rice Rusks Original
1891564,45123,Organic 21 Grain Thin Sliced Bread
1937286,29628,Ultra Strong Toilet Paper Double Rolls Bathroom Tissue
3063757,25844,Double Rolls Bath Tissue
2695781,8174,Organic Navel Orange
3337358,6689,Complete Clean Power Toilet Bowl Cleaner Value Pack
1280033,3583,Unsweetened Coconut Milk Beverage
1829061,40604,Feta Cheese Crumbles
819399,38291,Traditional Crumbled Feta Cheese
2353515,14633,Veggie Chips
2196792,48666,Mild Thin Sliced Cheddar Cheese
147688,35224,Drink It Up Coconut Milk Conditioner
1747855,30678,Rosemary & Olive Oil Flatbread
2236941,21137,Organic Strawberries
1154944,46969,Organic Bosc Pear
32264,10060,Original BBQ Sauce
2476392,8475,Diet 12 Oz Ginger Ale
776636,19678,Organic Russet Potato
2677107,9477,Medium Cheddar Cheese
3201115,43713,Organic Creamy Peanut Butter
94260,34126,Organic Italian Parsley Bunch
792328,48210,Whole Wheat Blueberry Fig Bars
1672614,43692,Shredded Mozzarella Cheese
1489991,24852,Banana
1968437,4920,Seedless Red Grapes
2693212,4731,Classic Roast
3129292,44867,Soft & Chewy Candy
831234,46979,Asparagus
3349304,27259,Allergy + Congestion 12 Hour Relief Extended Release Tablets
495309,20682,Cinnamon Raisin Swirl Pre-Sliced Bagels
1553295,6341,Brown Eggs
1911359,25588,Seedless Small Watermelon
1076466,7854,Freeze Dried Mango Slices
3015631,41950,Organic Tomato Cluster
3270351,13176,Bag of Organic Bananas
2167104,5652,Organic Red Potatoes
1119010,8274,Fresh Cut Cauliflower & Broccoli Steam in Bag
668365,24834,Organic Sweet Potato Puffs
1680055,8277,Apple Honeycrisp Organic
1439179,27966,Organic Raspberries
1461695,27845,Organic Whole Milk
416765,40198,Blueberry Yoghurt
1095088,30021,Distilled White Vinegar
3200908,24799,Vanilla Skyr Nonfat Yogurt
494654,24852,Banana
1600038,39921,Lemon Lime Soda
2648012,37687,Organic Spring Mix
2359388,4210,Whole Milk
2407604,26638,Organic Thai Sweet Potato Soup
2820014,28156,Total 0% Nonfat Plain Greek Yogurt
167574,19660,Spring Water
1474132,35951,Organic Unsweetened Almond Milk
1851707,15200,Organic Green Beans
1978998,21150,Fire Grilled Steak Bowl
548409,37211,Overstuffed Italian Sausage Ravioli
534425,13085,Organic Hot Cocoa Mix
674820,26620,Peach Pear Flavored Sparkling Water
820600,18537,Organic Navy Beans No Salt Added Fat Free
3400187,42446,Shredded Wheat
137193,4942,Vanilla Almond Breeze
344958,12832,Extra Fresh Body Wash with Pump
2634940,47601,Unsalted Cultured Butter
1112223,30391,Organic Cucumber
2554147,23410,Bathroom Tissue Double Rolls
1459861,4461,Organic Raw Unfiltered Apple Cider Vinegar
2464943,42701,Organic Sour Cream
443201,29117,Organic Gluten Free Sea Salt by the Seashore Multigrain Tortilla Chips
82851,45064,Honey Wheat Bread
2696271,11615,Original Prepared Cheese Product
1070590,43070,Double Stuf Chocolate Sandwich Cookies Family Size
700505,16415,Almond Breeze Almond & Coconut Milk Blend
1722921,44408,Gluten Free Oatmeal Cookie Granola Bars Granola Bars
1216978,6104,Whole Milk Plain Yogurt
2696270,47766,Organic Avocado
1219768,33636,Organic Shells And White Cheddar
1110403,9020,Boneless Skinless Chicken Thighs
3364217,24952,"Tortilla Chips, Corn, Red Hot Blues"
2012430,30489,Original Hummus
641361,44910,Organic Spring Mix Salad
251324,33493,Cotton Swabs
1749276,18362,Organic Bread with 21 Whole Grains
1446268,47402,Fuji Apples
1611678,29993,Organic Low Fat Chocolate Milk
2639813,26604,Organic Blackberries
3228926,44632,Sparkling Water Grapefruit
3419464,2326,Organic Blueberry Waffles
2968075,20957,Whole Grain Rice Cereal
2871516,31651,Extra Fancy Unsalted Mixed Nuts
189418,16965,Chocolate Ice Cream
52932,13176,Bag of Organic Bananas
870683,9825,Organic Multigrain Waffles
2540387,17872,Total 2% Lowfat Plain Greek Yogurt
1379984,47209,Organic Hass Avocado
3358051,40199,Chocolate Chip Cookies
3084114,21405,"Organic Red Radish, Bunch"
1439475,11512,Honey Yoghurt
2134900,17461,Air Chilled Organic Boneless Skinless Chicken Breasts
609060,37158,Chicken & Maple Breakfast Sausage
2124531,30776,Organic Raw Kombucha Gingerade
2948597,27845,Organic Whole Milk
3170166,4920,Seedless Red Grapes
122487,5876,Organic Lemon
1498838,22507,Premium Grapefruit Large
1378405,24768,All Natural Honey Almond Butter
644019,19659,Crunchin' 123 Sesame Street Veggie Crackers
562824,7948,Organic Unsalted Butter
1727141,45066,Honeycrisp Apple
1151127,15902,100 Calorie  Per Bag Popcorn
1557819,44698,Wild Alaska Pink Salmon
1858236,37220,Organic Strawberry Fruit Spread
456679,19660,Spring Water
1664193,41960,"Organic Daikon Root, Bunch"
3126084,24852,Banana
1170382,24852,Banana
2103512,17600,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
1226977,4138,Arancita Rossa
2478077,43352,Raspberries
2458106,37687,Organic Spring Mix
1644681,10749,Organic Red Bell Pepper
179758,39024,Edamame In Pod
642658,22035,Organic Whole String Cheese
3199546,45,European Cucumber
3159362,27104,Fresh Cauliflower
3234618,26497,Romaine Lettuce
1365269,45106,Low Fat Strawberry Yogurt Tubes
548890,47766,Organic Avocado
1967576,32592,Ultra Plush Unscented Bathroom Tissue
803968,45954,Premium Calcium & Vitamin D No Pulp Orange Juice
1522899,19508,Corn Tortillas
260463,21513,Heart to Heart Honey Toasted Oat Cereal
1049099,47993,Cherry Garcia Ice Cream
1071056,45810,Wagon Wheels Mac + Cheese
3240556,8188,Wisconsin Cheese Edam
2837003,35715,"Whole Grain Organic Waffles, Totally Original"
2636,9133,Original Long Grain & Wild Rice Mix
1041516,11182,Baby Spinach
513580,1158,Mango Chunks
1169117,46802,Pineapple Chunks
3330360,38689,Organic Reduced Fat Milk
2456571,20358,Mozzarella & Provolone Shredded Cheese
282577,44632,Sparkling Water Grapefruit
1035085,13440,Chili Garlic Sauce
1038167,18171,Natural Sunflower Spread
1802888,24497,Organic Cauliflower Florets
2044366,20549,Organic Orzo
1775938,30391,Organic Cucumber
172563,19660,Spring Water
3087569,21137,Organic Strawberries
2836079,10798,Organic Salted Individually Wrapped Quarters Butter
3178118,6489,Backyard Barbeque Potato Chips
139614,9385,Hazelnut Bite Size Wafer Cookies
2885539,49235,Organic Half & Half
2351174,37509,Light Chicken Noodle Soup
146709,28204,Organic Fuji Apple
3266686,10032,Cola Soft Drink
3296157,37004,Whole Grain Thin Spaghetti Pasta
223918,44514,Yellow Straightneck Squash
2399727,40279,Bean Sprouts
1021893,47977,Grapefruit Sparkling Water
1837644,25890,Boneless Skinless Chicken Breasts
1948239,15613,Salted Tub of Butter
882413,13874,Organic Pumpkin
9751,19436,Bone Organic Chicken with Ginger Broth
2316145,46147,Organic Tomato Ketchup
3207383,1511,2% Reduced Fat DHA Omega-3 Reduced Fat Milk
3094310,37040,Fanta Orange Soda
3143496,20785,Extra Sharp Aged Cheddar Cheese slices
1150052,27521,Organic Lacinato (Dinosaur) Kale
2262067,26604,Organic Blackberries
1422161,26209,Limes
3116330,432,Vanilla Almond Breeze Almond Milk
1381219,46484,Peanut Butter Dark Chocolate + Protein Nutrition Bar
3274451,40623,Facial Tissues Boxes
3108792,8193,Russet Potato
1004073,28204,Organic Fuji Apple
2780409,21737,Baby Food Stage 2 Raspberry Spinach & Greek Yogurt
3419293,32579,Organic Promise Autumn Wheat Cereal
2399383,7788,"Deli Fresh Smoked Ham, 97% Fat Free, Gluten Free"
1567918,44632,Sparkling Water Grapefruit
627181,38618,Organic Chunky Vegetable Soup
1924352,4472,Toasted Coconut Almondmilk Blend
1284390,21757,Natural Almonds
834078,36865,Non Fat Raspberry Yogurt
2250127,36856,Premium Chocolate Coconut Water
1755496,3651,Dairy Pure Fresh Half & Half
296717,5764,Organic SprouTofu Teriyaki Tofu Cutlets
3111429,37646,Organic Gala Apples
200364,19488,Select-A-Size White Paper Towels
198458,17309,Dairy Free Greek Vinaigrette Made With Avocado Oil & Oil of Oregano
955153,48705,Parmesan Cheese
1324541,10199,Watermelon Agave Frozen Pops
3081313,16981,"Love My Veg Banana, Beet, Squash, Blueberry"
156905,49191,Cran Raspberry Sparkling Water
3355965,33852,Black Raspberry Sparkling Water Drink
2836320,33198,Sparkling Natural Mineral Water
820604,895,YoKids Squeeze Organic Blueberry Blue Yogurt
2264093,44167,Pacific Cooler Juice Drink
3093751,22993,Super Seed Crispy Crackers
2053825,21872,Organic Italian Salad
2355310,2062,Good Life Organic Cherry Tomatoes
3006036,25779,"Herbal Tea, Organic, Turmeric Ginger, Caffeine-Free, Bags"
963856,35616,Fresh Frozen Mixed Berries
1508183,30765,Almond Ice Cream Bars
2001581,31343,Shredded Mild Cheddar Cheese
1490700,26369,Organic Roma Tomato
3024939,3059,Italian Bread Unseeded
3327270,20114,Jalapeno Peppers
348945,33984,Blush Wine Vinaigrette Dressing
2200124,10385,Organic English Cucumber
856876,13176,Bag of Organic Bananas
1667780,22825,Organic D'Anjou Pears
345982,436,Petite Brussels Sprouts
1987363,2309,Organic Ground Flaxseed
2501919,37646,Organic Gala Apples
1231783,1160,Pinot Grigio
1293627,13396,Chicken Corn Chowder Soup
2778672,5876,Organic Lemon
485676,19691,Green Seedless Grapes
2851550,13536,Shredded Parmesan Cheese
689770,29270,Beet Apple Carrot Lemon Ginger Organic Cold Pressed Juice Beverage
3036113,6187,Raisin Bran Cereal
1909722,9743,Real Vegetable Chips Original Sea Salt Non GMO
844836,12409,Organic Distilled White Vinegar
2764680,9913,Garden Vegetable Salad Roll
1127573,43122,Organic Bartlett Pear
178972,7762,Vodka Pasta Sauce
2115386,26374,Organic Icelandic Strawberry Yogurt
1109958,31553,Fresh Ginger Root
2658488,28204,Organic Fuji Apple
3223588,4138,Arancita Rossa
393369,17858,Everyday 2 Ply Premium Napkins
105661,40554,Oat Blueberry Lemon Whenever Bars
1792310,32740,Cold-Brew Black Coffee
3356468,44632,Sparkling Water Grapefruit
2204365,23405,Pure Baking Soda
154120,1940,Organic 2% Reduced Fat Milk
1361400,21616,Organic Baby Arugula
745924,49113,Tall Kitchen Drawstring Bags
814667,32256,Mango Chutney
7762,28476,Organic Small Curd Cottage Cheese
3386171,28601,Collard Greens
2433834,47209,Organic Hass Avocado
3230093,3211,Synergy Organic & Raw Green Chia Kombucha
3180260,5991,Bok Choy
1743971,39275,Organic Blueberries
730441,28628,Peter Rabbit Organics Pumpkin Carrot & Apple Snack
440421,26209,Limes
1384453,28050,Donut Peach
3313717,45664,Onion Powder
1808546,34126,Organic Italian Parsley Bunch
605104,47144,Unsweetened Original Almond Breeze Almond Milk
1178869,27939,Mediterranean Style Kefir Cheese Labne
3397063,13176,Bag of Organic Bananas
1473537,16768,100% Lactose Free Reduced Fat Calcium Enriched Milk
93849,44142,Red Onion
